Participant ID,Assumption ID,Summary
1 ,A10,Data flow between PDS and mail provide is secure
1 ,A6,PDS users cannot claim that they havent received a document because it is very for edocs to check whether the document is in the PDS
1 ,A7,PDS users can change their information after logging in
1 ,A8,No harm can be done creating a new user for the PDS regarding tampering or information disclosure since it would involve your own PDS
1 ,A9,It is impossible to register a new user if the username or emailaddress are already in use
2 ,A10,the delivery manager and scheduler are deployed on the same physical node
2 ,A11,the PDS docs and PDS user data are deployed on the same physical node
2 ,A12,External delivery services are assumed to be professionally enough and have proper authentication handling
2 ,A13,PDS user logs in via browser and uses credentials
2 ,A14,A13+ visits of a user to the PDS are logged
2 ,A6,The document ID cannot be guessed and an adversary cannot change the delivery status of documents as a consequence
2 ,A7,The delivery scheduler has no flows going outside the trust boundary (+A1)
2 ,A8,the generated docs archive has no flow going outside the trust boundary
3 ,A10,No authentication when creating a new PDS user
3 ,A11,Tampering with documents is not possible as they are not changed after creationg and customer organisations are not considered here
3 ,A12,Tampering with user dara is not considered except for threat T6 in which is the info is tampered with at creation
3 ,A13,Information disclosure of PDS user data is considered impossible as the PDS proces (p3) never sends it anywhere and itis safe angainst code & memory level attacks
3 ,A14,All information sent over channels in the trust boundary (DF11-DF23) is either over internal infrastructure or encrypted. As such the data can not be tampered with or be discoed as edocs employees are considered trustworthy
3 ,A17,Information disclosure through sidechannels is considered nowehere as the difficulty for such an attack would make it not the worth it for edocs data
3 ,A18,"As logs are never mentioned in the description of the edocs system, it is assumed no logs are kept"
3 ,A19,eDocs employees can access the data stores from the outside
3 ,A6a,"Spoofing of E1,E2 and E3 does not happen as they are explicity know by the system"
3 ,A6B,There is little benefit to setting wrong (delivery) statuses
3 ,A7,"E1, E2, and E3 have an SLA with eDocs"
3 ,A8,Repudiation by a PDS user is considered to be too unlikely (no motivation) to be considered a threat
3 ,A9,Repudiation by P1-P3 is not considered as threats originate outside of the trust boundary
4 ,A10,As logs are maintained for every step in the generation and delivery process we assume repudiation is not possible for the PDS user
4 ,A11,Some logs are kept in the PDS store to log who performed what actions
4 ,A6,"DF11,DF12 and DF13 are inside the trust boundary and have no dirct external influences so it is assumed that these three flows are not threatened b tampering or informatnion disclosure"
4 ,A7,DF7 is also the flow non-registered recipients use to access their document via unique link
4 ,A8,We assume passwords can only be changed after confirmation mails
4 ,A9,"As assumed in A2, the flows DF1-DF3, DF6-DF10 are encrypted and thus considered safe from tampering and information disclosure"
5 ,A10,DF19-DF23 are encrypted and thus considered to have confidentiality and integrity
5 ,A11,Print service repudiaton poses no threat
5 ,A12,DS1 is protected and can only be read by a delivery scheduler P1
5 ,A13,Only one document generator process can add documents to DS1
5 ,A6,no authentication required to request document with URL
5 ,A7,DF4 channel not encrypted
5 ,A8,DS3 is protected
5 ,A9,passwords are encrypted
6 ,A10,"Spoofing the PDS can only obtain request information, not cosndered a threat"
6 ,A11,P1 gets no important information thus spoofing threat islow
6 ,A12,P1-P3 is considered a trustworthy in boundary process. Repudiateion is not threat
6 ,A6,DF4-5 is considered an unecnrypted line
6 ,A7,PDS user is identified by means of credentials
6 ,A8,The in-trust boundary data flows are considered susceptible to LowPriority threats because of assumption A1
6 ,A9,E1-E3 are cosnidered reliable so repudiation is not a threat here
7 ,A10,"the connection between E1 and P1 is complex, hard to simulate"
7 ,A11,P2 and P3 are stateless
7 ,A12,delivery status reports only contain information that is useless to attackers
7 ,A13,Guessing URLS to download take extremely long (URLs are complex)
7 ,A6,communication between P2 and E3 happens through sockets
7 ,A7,The archive (DS1) is sufficiently protected
7 ,A8,the connection between P2 and E3 is established by using a complex protocol that is not easily reproduced
7 ,A9,DS3 is sufficiently protected
8 ,A6 ,The delivery manager cannot be tampered with because of good isolation from outside world
8 ,A7,Processes can normally be trusted and even if tampered with there is no reason to deny any action
8 ,A8,No input validation takes place at the processes
9 ,A10,eDocs will always deliver all documents that were asked for
9 ,A11,PDS user data is never sent outside of trust boundary
9 ,A12,Authentication info is securely stored (no-plain-text)
9 ,A14,The scheduler can not receive communications from outside processes
9 ,A16,"DS1,2,3 do not store logs"
9 ,A6,E1-E3 want to stay partners with edocs and not deliver more or less than asked for => no repudiation threats here
9 ,A8,PDS user has no reason to deny having asked/received a document
9 ,A9,a PDS-user is authenticated by means of credentials
10 ,A10,"Spoofing of P1 and p2 and tampering with P1,P2 and P3 are not applicable ecause these are from withing the trust boundary"
10 ,A11,"Non-repudiation of P1, P2 and P3 are not applicable and ID of P1. P1 has no communication to the outside world, also not of P3 because of authentication"
10 ,A12,"Repudation is not applicable to P1, P2 and P3 because these are within trust boundary"
10 ,A13,"When a new user registers, his input will be checked against formatting rules"
10 ,A14,Tampering with DS1 and DS2 is not appicable becauce no indirect/direct communication with outside
10 ,A15,The document sent to E1 and E2 are signed with a specific key
10 ,A16,PDS user is logged in with credentials
10 ,A17,ID for DS1-DS3 is not appicable because no direct communication with outside world
10 ,A6b,Correct deliveryhas been agreed upon with delivery service (E1-E3)
10 ,A7,"Thorough background checks on E1,E2 and E3"
11 ,A10,PDS stores no logs
11 ,A11,Doc ID and or delivery statuses hold no crucial/confidential information
11 ,A12,System noticeses when an internal lookup is tampered with by wrong doc IDS when a document is returned
11 ,A13,Attacker can use vulnerabilities/backdoors to get access to internal data flows
11 ,A14,"Internally, lookup URLS are unencrypted"
11 ,A6,"Login for the PDS user is simple, e.g. no 2-factor auth"
11 ,A7,"Delivery status notifications overwrite each other, e.g. ""received"" and later ""failed"" -> doc is failed"
11 ,A8,PDS user has no control over any logs
11 ,A9A,PDS user registration system does not record bad attempts
11 ,A9b,PDS login system does not record bad attempts
12 ,A10,All backups and replicas of databases are secured in accordance with the original
12 ,A11,All communication with 3d parties in encrypted
12 ,A6,"Delivery noted within trust boundary, PDS user cannot deny"
12 ,A7,External services are assumed to have no malicious intent but are however still not trusted
12 ,A8,DBs are relational using popular technology
12 ,A9,All flows in the trust boundary are secure and are not publicly available (behind firewall)
13 ,A6,The credentials of employees are secure within the customer organisation's system
13 ,A7,"When a user opens a document, it is marked as ""delivered"""
13 ,A8,The external services and the delivery manager are protected against upstream insertion
13 ,A8,The external services and the delivery manager are protected against upstream insertion
14 ,A10,Repudiation by the processes is not considered because of A1 and there would be no advantage
14 ,A11,"Information disclosure of the data stores is not considered because no external entity can try to receive information from these data stores not belonging to them (because of A1, this will also not be done by employees)"
14 ,A12,"Tampering with the PDS docs and the PDS user data is not considered beause no external entity can change documents: te=he PDS docs and external entitites can only register a new user (if user already existis,the register process will handle this) ( (because of A1, this will also not be done by employees)"
14 ,A13,Information Disclosure from the processes is not considered because they are all in the trust boundary. A1 holds and the side information that can be retrieved is not very useful
14 ,A14,Tampering with the data flows DF11-DF23 are not considered because they are all inside the trust boundary and A1 holds
14 ,A15,Information disclosure from the data flows DF11-DF23 are not considered because they are all inside the trust boundary and A1 holds
14 ,A6,The PDS is authenticated using credintials (uname/pwd) given during registration
14 ,A7,Tampering of data flows mentioned in Assumption A2 is not considered because they have channel confidentiality and integrity 
14 ,A8,Information Disclosure of data flows mentioned in Assumption A2 is not considered because they have channel confidentiality and integrity
14 ,A9,There are (no?) logs involved in the EDocs system so repudiation of the data stores is not considered
15 ,A6,We consider E1-E3 to be trustworthy and will not repudiate
15 ,A7,"We assume documents are linked user ID and not by name, e-mail"
15 ,A8,The DS2 is accessible via URL
15 ,A9,Communication between processes is secure
16 ,A10,"Even with the chance of SQL injection attacks, sensitive info such as user credentials will not be revealed as they are stored in encrypted format. "
16 ,A11,Encryption keys are stored safely.
16 ,A6,E1-E3 are trustworthy in that they have sufficient security measures in place to prevent threats originating from them
16 ,A7,The (PDS USer) E4 is authenticated by means of credentials
16 ,A8,A user account is maintained that logs all the activity of a PDS user in the system
16 ,A9,Tracking service provided by eDocs is reliable and supplies correct info about delivery of documents
17 ,A10,changing delivery status is omnipotent (sic)
17 ,A11,EDocs operators can access a dashboard
17 ,A12,Third party delivery services dont log in with credentials or the credentials are stored carelessly
17 ,A13,The interface to communicate with the email provider is known 
17 ,A14,Notifications are sent to the eDocs operator when components of eDocs fail
17 ,A6,The PDS user authenticates with credentials
17 ,A7,3d party delivery services acknowledge incoming documents
17 ,A8,nothing useful can be learned when eavesdropping on DF5
17 ,A9,"when delivery manager receives a wrong DocID, an exception is thrown"
18 ,A6,"The delivery channels (print,zoomit,email) have a way of making them known to the system that allows them to be impersonated (e.g. using credentials)"
18 ,A7,"Delivery channels (print,postal, zoomit) are assumed to be honest and try to perform the agreed upon delivery"
18 ,A8,PDS users are authenticated through credentials
18 ,A9,The datastores are not sufficiently protected
19 ,A1,E1-E3 transfer configuration is set correctly and therefore no risk of spoofing
19 ,A10,User registration requires strong password
